"richness","X","Y"
60,-663798.582272001,-989570.46774461
60,-663628.372676491,-988190.33150431
77,-631345.979188891,-990687.579950683
77,-632642.203122585,-989132.38224936
56,-634265.723845416,-990339.106660768
56,-634101.720701448,-988958.150101624
41,-635561.252578012,-988783.661374072
46,-637185.344496261,-989990.176086676
46,-637020.655547984,-988608.930286032
53,-638480.086972954,-988434.068012426
45,-640104.709269338,-989639.991358554
48,-639939.455770978,-988259.090176248
48,-641398.916747884,-988083.852622201
52,-643024.136975442,-989289.089431665
43,-642858.310201066,-987908.380538647
34,-644317.713661495,-987732.673631852
43,-645943.385102945,-988937.340001052
46,-645776.930837511,-987556.719151152
43,-647236.214141854,-987380.64771747
55,-648862.551300041,-988584.987051667
48,-648695.452241606,-987204.458779608
35,-650154.708583154,-987028.028915786
55,-651781.571245901,-988231.755388317
47,-651613.836124859,-986851.343291559
45,-653073.067012091,-986674.391563447
53,-654700.490078387,-987877.535310339
53,-654532.185903042,-986497.210458584
54,-655991.331834994,-986319.897863656
63,-657619.378515318,-987522.721357355
56,-657450.418145671,-986142.460053983
51,-658909.518986736,-985964.786412219
51,-660538.062754153,-987167.054565189
53,-660368.517890937,-985786.860458457
63,-661827.539720012,-985608.703965218
64,-663456.567274792,-986810.417514665
53,-663286.420632711,-985430.296503671
50,-633939.025216523,-987577.062729858
58,-633775.012735777,-986196.12766555
44,-635233.773501009,-986021.717926122
51,-636857.025705497,-987227.95797846
36,-636692.442066062,-985847.082505623
33,-638151.107843555,-985672.338630467
37,-639774.964292434,-986878.230295216
32,-639609.693226362,-985497.485491222
31,-641068.400271711,-985322.352389852
36,-642692.89578304,-986527.654181228
44,-642526.998421743,-985146.970064586
44,-643985.629430628,-984971.32171455
38,-645610.576850589,-986176.100651183
39,-645444.123256006,-984795.459412774
34,-646902.63862904,-984619.488479367
44,-648528.275647999,-985823.951754938
49,-648361.141371118,-984443.413542817
49,-649819.636984979,-984267.079518537
50,-651445.692240632,-985470.95047082
51,-651277.983238146,-984090.492919508
49,-652736.455727871,-983913.630814219
39,-654363.105441162,-985116.944752008
32,-654194.786553558,-983736.51115947
40,-655653.15743802,-983559.291294056
47,-657280.485060176,-984762.312705882
34,-657111.454617516,-983381.991726263
60,-658569.793622544,-983204.417864338
60,-660197.648115386,-984406.836168809
57,-660028.020904006,-983026.624890164
61,-661486.277401958,-982848.552339291
