"NAME";"X";"Y";"july";"august"
"Kralovice";13.494007;49.981823;17.2032258064516;17.7354838709677
"Kralupy nad Vltavou";14.29;50.2419;17.9677419354839;17.8096774193548
"Krnov";17.6922;50.078;18.3354838709677;16.9193548387097
"Kroměříž";17.3653;49.2847;19.4483870967742;19.2548387096774
"Kuchařovice";16.085278;48.881111;19.0967741935484;19.5451612903226
"Kuchařovice";16.0864;48.8825;19.0967741935484;19.5451612903226
"Štítná nad Vláří - Popov";17.9711;49.0728;NA;NA
"Šumperk";16.9675;49.9742;17.2677419354839;16.6612903225806
"Žatec";13.54319;50.34147;18.7774193548387;18.5193548387097
"Lány";13.9519;50.1242;17.0870967741935;17.2870967741936
"Labská bouda";15.544927;50.769883;10;10.1548387096774
"Lednice";16.798895;48.792616;20.3903225806452;20.141935483871
"Liberec";15.023889;50.769722;16;15.458064516129
"Liberec";15.02389;50.76972;16;15.458064516129
"Libice nad Doubravou";15.704862;49.744164;17.7161290322581;17.3709677419355
"Lučina";12.5867;49.8042;17.7225806451613;17.1322580645161
"Lučina";18.4425;49.7308;17.7225806451613;17.1322580645161
"Luhačovice";17.7925;49.0842;NA;NA
"Luká";16.9533;49.6522;17.4645161290323;17.6032258064516
"Luká";16.953333;49.652222;17.4645161290323;17.6032258064516
"Lysá hora";18.4475;49.546111;12.0258064516129;12.4064516129032
"Lysá hora";18.4478;49.5461;12.0258064516129;12.4064516129032
"Měděnec";13.13256;50.42936;13.3774193548387;13.8
"Mošnov";18.112778;49.691944;18.6225806451613;18.0451612903226
"Mošnov";18.119167;49.6983;18.6225806451613;18.0451612903226
"Mořkov";18.057778;49.5414;18.0870967741935;17.3677419354839
"Moravské Budějovice";15.8067;49.0611;18.3129032258065;18.7354838709677
"Nedvězí";16.3097;49.6344;15.7;16.4193548387097
"Nepomuk";13.589389;49.486924;16.5870967741935;16.1903225806452
"Netvořice";14.521178;49.818411;17.2741935483871;17.7322580645161
"Neumětely";14.0375;49.8542;17.7612903225806;18.0612903225806
"Nová Ves v Horách";13.48561;50.59244;14.1129032258065;14.2967741935484
"Nový Bydžov";15.497443;50.237553;18.4548387096774;18.1
"Nový Rychnov";15.365;49.3858;15.9354838709677;15.7870967741935
"Nové Město pod Smrkem";15.23381;50.92358;16.2516129032258;15.5354838709677
"Ondřejov";14.7847;49.9072;16.4451612903226;16.9612903225806
"Opava";17.8761;49.9197;NA;NA
"Pec pod Sněžkou";15.7286;50.6922;13.5096774193548;13.1741935483871
"Pec pod Sněžkou";15.728889;50.691944;13.5096774193548;13.1741935483871
"Přerov";17.458889;49.464444;19.1967741935484;18.9161290322581
"Přimda";12.678056;49.669444;14.5903225806452;15.8516129032258
"Počátky";15.2342;49.2606;16.2032258064516;16.4161290322581
"Poděbrady";15.133554;50.140503;18.2096774193548;17.7354838709677
"Pohořelice";16.5283;48.9844;20.3645161290323;20.0322580645161
"Protivanov";16.83105;49.47782;16.1161290322581;16.5193548387097
"Radovesnice II.";15.368164;50.106526;18.558064516129;18.4193548387097
"Rokytnice v Orlic.horách";16.460258;50.164432;16.1741935483871;16.0935483870968
"Rožmitál pod Třemšínem";13.8664;49.605;16.1903225806452;16.4451612903226
"Ropice";18.6125;49.6975;18.5548387096774;18.0903225806452
"Rychnov nad Kněžnou";16.270033;50.164879;17.8741935483871;17.5032258064516
"Semčice";15.0036;50.3671;18.2193548387097;18.1032258064516
"Smolnice";13.85617;50.30872;17.2967741935484;17.6806451612903
"Sněžník";14.08536;50.79683;14.8774193548387;14.6225806451613
"Sněžník";14.10717;50.79367;14.8774193548387;14.6225806451613
"Staňkov";13.067369;49.552537;17.8903225806452;18.2129032258064
"Staré Město";17.4322;49.0917;18.2983870967742;18.0209677419355
"Stříbro";12.996866;49.75451;17.6548387096774;17.9548387096774
"Strážnice";17.3381;48.8992;19.8741935483871;19.7451612903226
"Strání";17.7078;48.9028;18.3645161290323;18.0645161290323
"Strakonice";13.9242;49.2514;18.0935483870968;18.541935483871
"Světlá Hora";17.4011;50.0331;15.6645161290323;14.7322580645161
"Svratouch";16.0336;49.735;15.2774193548387;15.7129032258065
"Svratouch";16.034167;49.735;15.2774193548387;15.7129032258065
"Temelín";14.3419;49.1978;17.2709677419355;18.2451612903226
"Temelín";14.342222;49.197778;17.2709677419355;18.2451612903226
"Třeboň";14.7586;49.0622;18.3645161290323;18.6290322580645
"Troubsko";16.5074;49.1745;19.2451612903226;18.8709677419355
"Tuhaň";14.5206;50.2953;18.4290322580645;17.9870967741935
"Turnov";15.154444;50.589722;17.9806451612903;17.1677419354839
"Valašské Meziříčí";17.9742;49.4636;17.9645161290323;17.6032258064516
"Varnsdorf";14.60222;50.90556;17.6064516129032;16.7387096774194
"Vatín";15.96806;49.52306;16.1774193548387;16.3354838709677
"Vítkov";17.757308;49.778037;17.3032258064516;16.6838709677419
"Velichovky";15.832503;50.356612;17.7225806451613;17.7064516129032
"Velké Meziříčí";16.0086;49.3528;17.8838709677419;17.7483870967742
"Vimperk";13.7825;49.065833;15.9193548387097;16.8096774193548
"Vizovice";17.84361;49.22297;18.0838709677419;17.6387096774194
"Vlkonice";13.5897;49.3022;17.3387096774194;17.6903225806452
"Vráž";14.1289;49.3844;16.4354838709677;16.7387096774194
"Vsetín";17.9961;49.3442;17.0451612903226;16.4741935483871
"Vyšší Brod";14.3144;48.6175;16.4870967741935;15.8451612903226
